Wed May 24 18:26:02 2023,4,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:03 2023,5,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:04 2023,6,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:05 2023,7,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:06 2023,8,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:07 2023,9,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:09 2023,10,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:10 2023,11,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:11 2023,12,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:12 2023,13,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:13 2023,14,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:14 2023,15,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:15 2023,16,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:16 2023,17,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:18 2023,18,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:19 2023,19,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:20 2023,20,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:21 2023,21,2,4,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:24 2023,0,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:26 2023,1,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:27 2023,2,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:28 2023,3,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:29 2023,4,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:30 2023,5,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:31 2023,6,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:32 2023,7,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:33 2023,8,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:34 2023,9,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:35 2023,10,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:36 2023,11,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:38 2023,12,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:39 2023,13,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:40 2023,14,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:41 2023,15,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:42 2023,16,2,0.23543999999999998,0.24274000000000007
Wed May 24 18:26:43 2023,17,2,0.23543999999999998,0.24274000000000007
